Group	Words
1	prærogatiua prærogativa prerogatiua
2	archabiscop archebiscop
3	adnihilare adnichilare
4	presumpcione presumpcionem presumptione
5	perduxerunt perduxerint
6	uolubilitas volubilitas
7	hereditarii hereditarie hereditariis hereditario hereditaria hæreditarii
8	westeweardne westweardne westewerdne westewearde westeweardre
9	brydancumbe brydancumbes brydancumb
10	guardarobam gardarobam
11	misercordia misericordia
12	inconcussae inconcusse inconcussa
13	christiani christianis
14	negligentia negligentiam
15	archiepiscopus ærchiepiscopus archiepipscopus archiepiscopum archiepiscops arciepiscopus archiæpiscopus archiepiscopis archiespiscopus archiepscopus archyepiscopus
16	hauekeberia hauekebiria
17	subsequente subsequentem subsequenti subsequenter
18	inuiolabili inuiolabilis inuiolabile
19	festiuitati festiuitatis festiuitate
20	fraternitate fraternitati fraternitatem
21	nefandissimos nefandissimis nefandissimo
22	cementarius cementariis
23	risenburga risenburgam
24	aquirendis adquirendis
25	siluarumque silvarumque siluorumque
26	sauiniensis sauigniensis
27	easteweardere easteweardre
28	incrementis incrementi
29	feornbeorgan fernbeorgan feornbeorgen feornbergan fearnbeorgan
30	corruptionis corrupcionis
31	malmesberiensi malmesberiense malmesbiriensi
32	resignatione resignationem
33	commissorum commissarum
34	windelesor windelesore
35	exheredatus exheredatur
36	cenomanensi cenomanensis
37	magisterium magisteriam
38	infangenþeof infangenheof infangeneþeof infangenteof
39	cristeshale cristeshal cristeshala
40	radingensis radingenses radingensi
41	trinscathin trindscathin
42	dccccxxxviii dccccxxxvii dcccclxxxviii dcccclxxviii dccccxxxiii dccccxxxiiii
43	succidencium succedencium
44	ierosolimitarum ierosolimitanum
45	diminuatione diminutione
46	oferentibus ferentibus
47	brihtuuald brihtuualdi
48	coniusticiariis coniusticiarii
49	preostatun preostantun
50	prouentibus prouectibus promentibus
51	exhiberetur exhiberentur
52	presumpserint presumpserunt presumpserit
53	ierusalimitani ierusolimitani ierusalemitani hierusalimitani
54	batoniensem batoniense
55	suprascriptum suprascriptam
56	circumjacentibus circumiacentibus
57	agmodesham agmondesham
58	nativitatis natiuitatis
59	amiteremus admiteremus
60	cestrentona cestrenetona cestretona
61	rapacitatem rapacitates
62	torclearia torcleraria
63	badelsdona badelesdona
64	corduanarius corduanariis
65	byrtuniensi byrtuniensis
66	lichefeldensis lychefeldensis lichesfeldensis lichfeldensis
