Group	Words
1	prærogatiua prærogativa prerogatiua
2	prenominaui prenominati
3	ueneratione veneratione generatione ueneracione
4	archabiscop archebiscop
5	adnihilare adnichilare
6	presumpcione presumpcionem presumptione
7	uolubilitas volubilitas
8	prosperitate prosperitatem
9	hereditarii hereditaria hereditarie hereditariis hæreditarii hereditario
10	westeweardne westweardne westewearde westeweardre westewerdne
11	brydancumbe brydancumbes brydancumb
12	inconcussae inconcussa inconcusse
13	christiani christianis
14	liberaliter liberalite
15	archiepiscopus ærchiepiscopus archiepipscopus archiepiscopum archiepiscopis archiespiscopus archiepscopus archyepiscopus archiepiscops archiæpiscopus
16	euangelice euuangelice
17	inuiolabili inuiolabile inuiolabilis
18	hrysebyrgan hrisebyrgan
19	nefandissimos nefandissimis nefandissimo
20	siluarumque silvarumque siluorumque
21	easteweardere easteweardre
22	archidiacono archidiaconi
23	adstipulacione adstipulatione astipulacione
24	apostolicus apostolicum apostolicis
25	spirituales spiritales
26	feornbeorgan fernbeorgan feornbeorgen feornbergan fearnbeorgan
27	corruptionis corrupcionis
28	æthelfricus æthelricus
29	commissorum commissarum
30	satisfaciant satisfaciat
31	impediatur impediantur
32	divinitatis diuinitatis
33	testimonii testimoniis
34	infangenþeof infangeneþeof
35	confirmato confirmatio
36	trinscathin trindscathin
37	dccccxxxviii dccccxxxvii dcccclxxxviii dccccxxxiiii dcccclxxviii dccccxxxiii
38	saulsceate saulsceatte
39	succidencium succedencium
40	appendicia appendicias
41	aþeluuoldes aþeluuoldus
42	brihtuuald brihtuualdi
43	preostatun preostantun
44	westeweardan westewardan wæsteweardan westweardan westewearden
45	contemnentes contempnentes
46	appensione appensionem
47	presumpserint presumpserit
48	prædecessoribus predecessoribus
49	agmodesham agmondesham
50	nativitatis natiuitatis
51	prænominatam prenominatam
52	restaurauit restauraui
53	generationes generatione generationem
54	rapacitatem rapacitates
55	byrtuniensi byrtuniensis
56	lichefeldensis lichfeldensis lychefeldensis lichesfeldensis
57	choriscvmba choriscvmbam
58	prothoplastus protoplastus prothoplastum
59	nobilissimo nobilissima nobilissime nobilissimi
60	wiltunescire wiltunscire
61	interdiximus interdicimus
62	gubernantes gubernantis gubernante
63	dampnacionis dampnationis
64	fobbefunten fobbefunte
65	genitricique genetricique genitricisque
66	caeterique caeterisque
67	consolidaui consolidavi
68	incumbantibus incubantibus
69	fobbafuntan fobbanfuntan
70	westeweard westewearde
71	obedientia obedientiam obedientiae
72	confessionis concessionis
73	periculosa periculosam
74	disposicione disposicionem dispositione
75	unforbodene unforboden
76	praedictorum predictorum
77	obediencia obedienciam
78	crebrescentibus cresbrescentibus
79	netelforda neteliforda
80	possidenti possidentis
81	venerabili venerabilis
82	largicionis largitionis
83	earningaford earmingaford
84	unrihtwisliche unrihtwislice
85	substantiis substanciis
86	caracteribus karacteribus carecteribus
87	bisceophame biscophame bisceophamæ
88	festiuitatem festiuitate
