Word1	Word2	Similarity
westmonasteriensis	westmonasteriensi	0.9444444444444444
westmonasteriensi	westmonasteriensis	0.9444444444444444
esnotingehamscire	esnotinghamscire	0.9411764705882353
quietclamauerunt	quieteclamauerunt	0.9411764705882353
esnotinghamscire	esnotingehamscire	0.9411764705882353
quieteclamauerunt	quietclamauerunt	0.9411764705882353
snotingehamscire	esnotingehamscire	0.9411764705882353
esnotingehamscire	snotingehamscire	0.9411764705882353
recompensationem	reconpensationem	0.9375
premonstratensis	premonstratensi	0.9375
cantebriggesire	cantebriggescire	0.9375
nortumberlandiam	nortumberlandia	0.9375
quitaclamatione	quietaclamatione	0.9375
aministrationis	administrationis	0.9375
cantebrugiescira	cantebruggescira	0.9375
recompensationem	recompensatione	0.9375
cantebriggescire	cantebriggesire	0.9375
cantebriggescire	cantebriggescira	0.9375
consuetudinariis	consuetudinarias	0.9375
consuetudinariis	consuetudinarii	0.9375
consuetudinarii	consuetudinariis	0.9375
ierosolimitanis	iherosolimitanis	0.9375
salopesberiensis	salopesberiensi	0.9375
transfretationem	transfretatione	0.9375
cantebriggeshira	cantebriggescira	0.9375
consuetudinibus	consuetudininbus	0.9375
aministrationem	administrationem	0.9375
administrationum	administrationem	0.9375
nortumberlandia	nortumberlandiam	0.9375
administrationi	administrationis	0.9375
excomunicationi	excomunicationis	0.9375
disrationauerunt	dirationauerunt	0.9375
excomunicationem	excomunicatione	0.9375
salopesberiensi	salopesberiensis	0.9375
iherosolimitanis	ierosolimitanis	0.9375
cantebriggscira	cantebriggescira	0.9375
dirationauerunt	disrationauerunt	0.9375
flesmangerestret	flesmangurestret	0.9375
cantebruggescira	cantebrugiescira	0.9375
cantebruggescira	cantebriggescira	0.9375
cantebriggescira	cantebriggescire	0.9375
cantebriggescira	cantebruggescira	0.9375
cantebriggescira	cantebriggeshira	0.9375
cantebriggescira	cantebriggscira	0.9375
transfretatione	transfretationem	0.9375
westmonasteriurm	westmonasterium	0.9375
administrationis	aministrationis	0.9375
quietaclamatione	quitaclamatione	0.9375
administratione	administrationem	0.9375
reconpensationem	recompensationem	0.9375
consuetudininbus	consuetudinibus	0.9375
premonstratensi	premonstratensis	0.9375
administrationem	administrationum	0.9375
administrationem	aministrationem	0.9375
excomunicatione	excomunicationem	0.9375
administrationem	administratione	0.9375
excomunicationis	excomunicationi	0.9375
administrationis	administrationi	0.9375
westmonasterium	westmonasteriurm	0.9375
flesmangurestret	flesmangerestret	0.9375
consuetudinaria	consuetudinarias	0.9375
recompensatione	recompensationem	0.9375
consuetudinarias	consuetudinaria	0.9375
consuetudinarias	consuetudinariis	0.9375
berkelaihernese	berkelaihernes	0.9333333333333333
participationem	participatione	0.9333333333333333
dirationauimus	disrationauimus	0.9333333333333333
cantebriggscira	cantebrigscira	0.9333333333333333
quietumclamaui	quietumclamauit	0.9333333333333333
consensientibus	consentientibus	0.9333333333333333
wirecestrescire	wirecestresire	0.9333333333333333
wirecestrescire	wirecestrescira	0.9333333333333333
wirecestrescire	wirecestrescir	0.9333333333333333
quieteclamantia	quieticlamantia	0.9333333333333333
aministratione	administratione	0.9333333333333333
coniusticiariis	coniusticiarii	0.9333333333333333
aministratione	aministrationem	0.9333333333333333
oxenefordscire	oxenefordescire	0.9333333333333333
hierusalimitani	ierusalimitani	0.9333333333333333
gloucestresire	gloucestreshire	0.9333333333333333
gwarantizabimus	warantizabimus	0.9333333333333333
septentrionalis	septentrionali	0.9333333333333333
saresburiensium	saresbiriensium	0.9333333333333333
septemtrionalem	septentrionalem	0.9333333333333333
arcepiscopatus	arciepiscopatus	0.9333333333333333
warantizabimus	gwarantizabimus	0.9333333333333333
calumpniabantur	calumpniabatur	0.9333333333333333
gwarantizabimus	guarantizabimus	0.9333333333333333
administrationi	administratione	0.9333333333333333
gwarantizabimus	garantizabimus	0.9333333333333333
wincelcumbensis	wincecumbensis	0.9333333333333333
hereditabiliter	hereditabilter	0.9333333333333333
disratiocinauit	diratiocinauit	0.9333333333333333
westmonasterio	westimonasterio	0.9333333333333333
consuetudinario	consuetudinarii	0.9333333333333333
consuetudinario	consuetudinaria	0.9333333333333333
consuetudinario	consuetudinarie	0.9333333333333333
diratiocinauit	disratiocinauit	0.9333333333333333
lindocolinensi	lindocolinensis	0.9333333333333333
quieteclamantia	quietaclamantia	0.9333333333333333
arciepiscopatu	arciepiscopatum	0.9333333333333333
wesmonasterium	westmonasterium	0.9333333333333333
consentientibus	consensientibus	0.9333333333333333
guarentizabimus	guarantizabimus	0.9333333333333333
wirecestrescir	wirecestrescire	0.9333333333333333
septentrionalem	septemtrionalem	0.9333333333333333
wirecestrescir	wirecestrescira	0.9333333333333333
wircestrescira	wirecestrescira	0.9333333333333333
dirationcinatum	diratiocinatum	0.9333333333333333
quietaclamancia	quietaclamantia	0.9333333333333333
diratiocinatum	dirationcinatum	0.9333333333333333
consentientibus	consencientibus	0.9333333333333333
lindocolinensis	lindocolinensi	0.9333333333333333
sanctimonalium	sanctimonialium	0.9333333333333333
submonitionibus	sumonitionibus	0.9333333333333333
quietumclamauit	quietumclamaui	0.9333333333333333
ierosolimitanis	ierosolimitani	0.9333333333333333
arciepiscopatu	arciepiscopatui	0.9333333333333333
conestabularius	constabularius	0.9333333333333333
conestabularius	cunestabularius	0.9333333333333333
arciepiscopatu	arciepiscopatus	0.9333333333333333
guarentizabimus	garentizabimus	0.9333333333333333
guarantizabimus	guarentizabimus	0.9333333333333333
excomunicatione	excomunicationi	0.9333333333333333
guarantizabimus	garantizabimus	0.9333333333333333
consensientibus	consencientibus	0.9333333333333333
consuetudinaria	consuetudinarie	0.9333333333333333
uicearcidiaconi	uicearcidiacono	0.9333333333333333
consuetudinaria	consuetudinarii	0.9333333333333333
consuetudinaria	consuetudinario	0.9333333333333333
contradictione	contradictionem	0.9333333333333333
contradictione	contradictiones	0.9333333333333333
honorificetius	honorificentius	0.9333333333333333
peregrinatione	peregrinationem	0.9333333333333333
cunestabularius	conestabularius	0.9333333333333333
irationabiliter	rationabiliter	0.9333333333333333
rouercestrensis	rouecestrensis	0.9333333333333333
arcidiaconatum	arcidiaconatuum	0.9333333333333333
oxenefordesire	oxenefordescire	0.9333333333333333
oxenefordescira	oxenefordescire	0.9333333333333333
oxenefordescira	oxenefordscira	0.9333333333333333
guarantizabimus	gwarantizabimus	0.9333333333333333
arciepiscopatum	arciepiscopatus	0.9333333333333333
participatione	participationem	0.9333333333333333
nortumberlandia	nortumberlandie	0.9333333333333333
wirecestrescira	wirecestrascira	0.9333333333333333
arciepiscopatus	arciepiscopatum	0.9333333333333333
arciepiscopatus	arcepiscopatus	0.9333333333333333
glowcestriensi	glowecestriensi	0.9333333333333333
wigresestrasira	wigresestrasia	0.9333333333333333
westimonasterio	westmonasterio	0.9333333333333333
aministrationem	aministratione	0.9333333333333333
aministrationem	ministrationem	0.9333333333333333
turstaineswater	turstainewater	0.9333333333333333
hospitelariorum	hospitalariorum	0.9333333333333333
uicearcidiacono	uicearcidiaconi	0.9333333333333333
wincecumbensis	wincelcumbensis	0.9333333333333333
consuetudinarii	consuetudinario	0.9333333333333333
consuetudinarii	consuetudinaria	0.9333333333333333
consuetudinarii	consuetudinarie	0.9333333333333333
contemplationi	contemplationis	0.9333333333333333
coniusticiarii	coniusticiariis	0.9333333333333333
cantebrigscira	cantebriggscira	0.9333333333333333
hospitalariorum	hospitelariorum	0.9333333333333333
huntendonscira	huntendonescira	0.9333333333333333
confederationem	confederatione	0.9333333333333333
wigrecestensis	wigrecestrensis	0.9333333333333333
ierusalimitani	hierusalimitani	0.9333333333333333
nortumberlanda	nortumberlandia	0.9333333333333333
arciepiscopatus	arciepiscopatu	0.9333333333333333
arciepiscopatus	arciepiscopatui	0.9333333333333333
ministrationem	aministrationem	0.9333333333333333
glowecestriensi	glowcestriensi	0.9333333333333333
gloucestreshire	gloucestresire	0.9333333333333333
oxenefordescire	oxenefordscire	0.9333333333333333
