Group	Words
1	consulte consulta consulto consule consultu
2	conuenit conueniat conuenio
3	equitum quitum
4	prouiderint prouiderunt
5	scaciis caciis
6	furnerio furnesio
7	mesuagiis mesuagii mesagiis
8	suscipiat suscipias suscipiant suscipiet
9	ultimis ultimus
10	excusatione excusationem
11	adgistiare adgistare
12	wauford walford
13	normani normanbi normano normania normanie normanis norman
14	masagium managium pasagium masageum masuagium mesagium mansagium
15	ilectus dilectus electus lectus
16	puntcard puncard
17	melendi melend melenti
18	miracula miraculi miraculo
19	hestberhunt hestburhunt
20	sumonierit sumonuerit
21	acidunt ocidunt
22	godefribus godefridus godefrihus
23	mclixii mcliiii mclxxii mcliii mclxii
24	mauricus mauricas
25	conuersus conuersum conuersis conuersos
26	dunestanuila donestanuila dunstanuila dunestanuil dunestauila dunestanula
27	waldrici baldrici waldrico walarici
28	stanfort sanfort stanford stafort
29	mateuil wateuil gateuil
30	dilectarum dilectorum
31	contulerit contulerint contulerat
32	eficeretur eliceretur
33	atestamur atestatur testamur
34	determinatio determinatis determinati
35	matilidis matildis matilidi
36	heintona beintona teintona haintona
37	kinton keinton kintona kineton
38	prestent prestet present
39	impendatis inpendatis
40	habuit habeuit
41	surdeual surdeuale
42	salutare saluare salutari
43	delegate delegata delegare delegati delegato
44	iusticiarios iusticiarius iustitiarios iusticiario iusticiariis
45	holebec bolebec
46	burhunt burhunta barhunt burhunc
47	basinueg basingueg
48	uendicabant uendicabunt uendicabat
49	heredis heredi heredes
50	creuecort creuecor
51	norhant norhamt norant nortant
52	hofecote holecote ofecote
53	ligiorum lignorum
54	instituendos instituendo instituendus
55	horton hortona
56	postreme postremo
57	fauresham faueresham
58	pascis pascuis
59	quorumlibet quarumlibet
60	defenso defendo
61	dunolmensibus dunelmensibus
62	solitum solidum solium solutum sopitum
63	percepturos percepturus percepturis
64	heselwode heselwde
65	wigorna wigorn wigornia
66	gofrerio goferio
67	colaturi colaturis
68	denuntiabunt denunciabunt
69	ledestun ledestune ledestuna leestun
70	moritinii moritonii
71	sireburna sireburne sireburn
72	coliget coligat
73	rectitudines rectitudinem rectitudine
74	radingensi radingense radingensis
75	ecetona esetona
76	significaremus significamus significabimus
