Group	Words
1	prenominaui prenominati
2	ueneratione uenerationi uenerationem generatione
3	forisfacturis forisfacturi
4	perduxerunt perduxerint
5	deuenescira deuenscira deueneshira deuenesira deuenescire
6	prosperitate prosperitati prosperitatem
7	hereditarii hereditaria hereditarie hereditario
8	lincolinensis lincoliensis
9	guardarobam gardarobam
10	superfuerit superfuerint
11	misercordia misericordia
12	persoluimus persoluemus
13	negligentia negligentiam
14	hauekeberia hauekebiria
15	subsequente subsequenti subsequentem subsequenter
16	inuiolabili inuiolabile inuiolabilis
17	festiuitati festiuitatis festiuitate
18	fraternitate fraternitati fraternitatem
19	brenteford berenteford
20	cementarius cementariis
21	aquirendis adquirendis
22	nobiliacenses nobiliacensis
23	honestiores honestiorem
24	pentecoste pentecostem pentecosten pentecostes
25	paupertati paupertatis
26	sauiniensis sauigniensis
27	spirituales spiritualis spiritualem
28	incrementis incrementi
29	ledecestra ledecestria
30	malmesberiensi malmesberiense malmesbiriensi
31	resignatione resignationem
32	protestantur protestatur
33	couentriam couentreiam
34	satisfaciant satisfacient satisfaciat
35	windelesor windelesore
36	testimonii testimoniis
37	exheredatus exheredatur
38	cenomanensi cenomanensis
39	magisterium magisteriam
40	confirmato confirmatio
41	cristeshale cristeshal cristeshala
42	radingensis radingensi radingenses
43	certificant certificat
44	iustitiariis iusticiariis iustitiarios
45	ierosolimitarum ierosolimitanum
46	diminuatione diminutione
47	oferentibus ferentibus
48	coniusticiariis coniusticiarii
49	frequentare frequentari
50	prouentibus prouectibus
51	exhiberetur exhiberentur
52	presumpserint presumpserunt presumpserit
53	ierusalimitani ierusolimitani hierusalimitani ierusalemitani
54	batoniensem batoniense
55	suprascriptum suprascriptam
56	wigornense wigornensem wigornenses
57	amiteremus admiteremus
58	cestrentona cestrenetona cestretona
59	generationes generationis generatione
60	glecestriam glocestriam glecestria glecestram
61	portmanheit portmaneit
62	torclearia torcleraria
63	badelsdona badelesdona
64	corduanarius corduanariis
65	intelexerunt intelexerint
66	testificatur testificamur testificatus testificantur
67	dunestaplum dunstaplum
68	tancardeuila tancarduila tancardiuila
69	marescalcus mariscalcus marescalus
