	0
pertinenciis	pertinentiis
pertinentis	pertinentia
pertinentias	pertinenciis
prebentibus	presentibus
eleemosinam	elemosinam
helemosinam	elemosinam
autoritate	auctoritate
auctoritatem	autoritate
actoritate	auctoritate
auctoritati	auctoritatis
inperpetuum	imperpetuum
imperpetuam	inperpetuum
inspecturi	inspecturis
subscripsit	subscripsi
peruenerint	peruenerit
predictarum	predictorum
predicatorum	predictorum
arcidiaconi	arcidiacono
arcidiaconos	arcidiaconus
arcideacono	arcidiacono
arcdiacono	arcidiacono
quatraginta	quadraginta
ducentisimo	ducentesimo
ducentesimi	ducentesimo
conceserint	conceserit
conceserant	conceserat
concesserunt	conceserunt
monasteriis	monasterii
incarnacione	incarnatione
confirmauit	confirmaui
iustitiariis	iusticiariis
iusticiarii	iusticiario
iusticiarios	iustitiariis
iusticiarius	iusticiariis
iusticariis	iusticiariis
servientibus	seruientibus
seruentibus	seruantibus
antecessorum	antecesorum
concessimus	concesimus
confirmatus	confirmatum
recongnouit	recognouit
incarnacionis	incarnationis
permisionem	permisione
concesionem	concesione
concesiones	concesionis
pontificatu	pontificatus
parisienses	parisiensis
parisiensi	parisiensis
confirmaset	confirmase
uenerabili	uenerabilis
uenerabiles	uenerabilem
venerabilis	venerabili
contraditione	contradictione
contradictioni	contradictionis
contradictionem	contradictione
arcidiaconis	arcidiaconus
arcidiaconum	arcidiaconus
archidiaconus	arcidiaconus
cluniacensi	cluniacensis
cluniacenses	cluniacensem
clugniacensis	cluniacensi
archiepiscopus	arciepiscopus
arciepiscopis	arciepiscopus
arciepiscopum	archiepiscopus
arciepiscopos	arciepiscopo
ecclesiarum	eclesiarum
contingerit	contingeret
contigerint	contigerit
sempiternum	sempiternam
sempiterna	sempiternam
esterlingorum	sterlingorum
norwicensi	norwicensis
norwicenses	norwicensem
norwicencis	norwicensis
continentur	continetur
contineatur	continentur
excomunicationi	excomunicatione
consuetudine	consuetudinem
consuetudines	consuetudinem
consuetudinum	consuetudinem
warentizabimus	warantizabimus
garantizabimus	warantizabimus
arciepiscopi	arciepiscopo
archiepiscopo	arciepiscopi
arciepiscope	arciepiscopo
recognitionem	recognitione
recongnitione	recognitione
recognitiones	recognitionis
recognitioni	recognitionis
supradicti	supradictis
supradictus	supradictum
supradictas	supradicta
supradictos	supradicto
supradictam	supradictum
impressione	impresione
impresionem	impresione
uenditione	uenditionem
uenditiones	uenditionis
apositionem	apositione
carnotensi	carnotensis
carnotenses	carnotensem
septuagesimi	septuagesimo
recongnouerunt	recognouerunt
possidendam	posidendam
presentatione	presentationem
quibuscunque	quibuscumque
hereditatem	hereditate
hereditates	hereditatis
pontificalis	pontificali
pontificale	pontificalem
ordinatione	ordinationi
ordinationes	ordinationem
antecesores	antecesoris
antecesori	antecesoris
exelentisimo	excelentisimo
excelentisimi	excelentisimo
excelentisime	excelentisimo
cantuariensi	cantuariensis
latitudinem	latitudine
constitutis	constituti
constitutum	constitutus
constitutos	constitutus
constitutas	constituta
religiosarum	religiosorum
quadragesima	quadragesimo
quadragesime	quadragesimo
quatragesimo	quadragesimo
appendiciis	apendiciis
episcopalia	episcopali
episcopalis	episcopali
compositione	compositionem
conpositionem	compositionem
compositiones	compositionis
recongnitio	recognitio
