Group,Words
1,sucesoribus sucesoribis sucsoribus sucespribus sucesonibus suceesoribus suecesoribus sucesforibus
2,pertinentiis pertinenciis pertinentis pertinentias periinentiis pertinantiis petinentiis pertinetiis pertenentiis pertineneiis
3,presentibus prebentibus presencibus prcsentibus pesentibus presentibis prsentibus
4,testimonium testmonium testimoium testomonium tesimonium testimonum testamonium testimoninm testimonim textimonium
5,elemosinam eleemosinam helemosinam elemosionam elemosinami elecmosinam elcemosinam
6,auctoritate autoritate auctoritatem actoritate auctoritati auctoritates auctoriate
7,imperpetuum inperpetuum imperpetuam imperpetum imperpetuuam imperptuum
8,inspecturis inspecturi inpecturis inspectaris inspecturas infpecturis inspecluris inspectures
9,subscripsi subscripsit subscriptsi
10,pertinentibus pertinencibus pertenentibus pertiuentibus pertnentibus pertinentibuus pertinientibus
11,medietatem medietaterm
12,uniuersitas uniuersitos universitas
13,peruenerit peruenerint
14,predictorum predictarum predicatorum pradictorum predictorun
15,donationem donatioonem
16,arcidiacono arcidiaconi arcidiaconos arcideacono arcdiacono arcidiacon arcidiacano arcidiacone archidiacono arciliacono
17,quadraginta quatraginta quadragintas quadraginto quadranginta quadraginte quadriginta quadragenta
18,ducentesimo ducentisimo ducentesimi decentesimo duocentesimo ducentesemo
19,conceserunt conceserint conceserant concesserunt conseserunt concederunt conceperunt concesurunt comceserunt concenserunt cunceserunt concesernt
20,monasterii monasteriis monasteriia
21,incarnatione incarnacione incarnations incarnationi incarnationem incarnatiione incarnationes incarnatone lncarnatione incernatione
22,religiosis religiosius regligiosis
23,confirmaui confirmauit
24,iusticiariis iustitiariis iusticiarii iusticiarios iusticiarius iusticariis iustriciariis iusticiaris
25,seruientibus servientibus seruentibus seruienribus seruinentibus
26,antecesorum antecessorum antecesorem antecesorm anticesorum antecesoram
27,concesimus concessimus
28,consuetudinibus consuetudininbus
29,trinitatis trinintatis
30,confirmamus confirmatus confirmemus comfirmamus
31,recognouit recongnouit
32,incarnationis incarnacionis incarnations incarnationi inkarnationis incarnatiomis incarnationes incarnationiis incarnatonis
33,permisione permisionem permissione permisiones
34,concesione concesionem concesiones concessione conscesione
35,miseratione miserationem miserationes miceratione
36,pontificatus pontificatu pontificatum pontifcatus pontificatui pontificatos ponificatus
37,parisiensis parisienses parisiensi parisensis parisiensib perisiensis parisienis prarisiensis
38,confirmase confirmaset confirmasse confirmasem
39,tenementum tenementium tensementum
40,uenerabilis uenerabili uenerabiles venerabilis uenerabilia uenerabilies uenerebilis uenerabilii
41,contradictione contraditione contradictioni contradictionem contradiccione contradicctione contradictiones contadictione
42,canonicorum canonicorun canonicirum kanonicorum
43,arcidiaconus arcidiaconis arcidiaconum arcidiaconos archidiaconus arcideaconus archdiaconus arcdiaconus arciadiaconus
44,libertatibus liberatatibus liberatibus
45,cluniacensis cluniacensi cluniacenses clugniacensis cluniacensia cluniancensis clunicensis cluniasensis cruniacensis
46,arciepiscopus archiepiscopus arciepiscopis arciepiscopum arciepiscopos arhciepiscopus archepiscopus arcipiscopus
47,eclesiarum ecclesiarum eclesiarium eeclesiarum
48,contigerit contingerit contigerint
49,sempiternam sempiternum sempiterna sepiternam sempiternama sempiteram
50,monasterium monastarium
51,sterlingorum esterlingorum sterelingorum steriingorum sterlinggorum stelingorum sterlinorum sterlengorum sterligorum sterlingarum
52,norwicensis norwicensi norwicenses norwicencis nortwicensis nowicensis norewicensis noruicensis norwicesis noriicensis
53,continetur continentur contineatur continuetur
54,excomunicationis excomunicationi excomunicationes excomuncationis excumunicationis excmunicationis
55,consuetudinem consuetudine consuetudines consuetudinum consuetundinem oonsuetudinem
56,molendinum molendinium moldendinum
57,warantizabimus warentizabimus garantizabimus gwarantizabimus warantizabiumus waurantizabimus warantazabimus warauntizabimus waranticabimus warantisabimus
58,prepositus prsepositus prespositus
59,indictione indictiones indicitione
60,arciepiscopo arciepiscopi archiepiscopo arciepiscope arciepiscopos arcepiscopo arhciepiscopo arciepiscop arciespiscopo
61,specialiter spetialiter specialter specialitur specialater
62,recognitione recognitionem recongnitione recognitiones recognitioni recognistione
63,apostolorum aposolorum apostlorum apostulorum
64,supradictis supradicti supradictus supradictas supradictos supradiclis supredictis
65,westmonasterium wesmonasterium westmonasteriurm uestmonasterium
66,supradicta supradictam supradictas
67,denariorum denariorium denariourum
68,impresione impressione impresionem impresiones
69,uenditionem uenditione uenditiones uenditionum uinditionem uendationem uendilionem uendictionem ueaditionem
70,posesionem possesionem
71,apositione apositionem
72,carnotensis carnotensi carnotenses carnolensis mcarnotensis
73,honorifice honorificem honorifiice
74,cancelario cancelariuo canceliario cancelarios
75,septuagesimo septuagesimi septuagesime septuagesima septurgesimo sextuagesimo
76,potestatem protestatem
77,recognouerunt recongnouerunt recognauerunt reoognouerunt recognouerint recognouerant ecognouerunt
78,posidendam possidendam poscidendam sposidendam
79,presentationem presentatione presentationes presentationum
80,quibuscumque quibuscunque qubuscumque
81,hereditate hereditatem hereditates
82,pontificali pontificalis pontificale pontificati pontificiali pontificalia pontifical
83,ordinationem ordinatione ordinationes ordinationum
84,quinquagesimo quinquagesima quinquagesimi qunquagesimo quinquagesim
85,antecesoris antecesores antecesori antecessoris antecesoria autecesoris anticesoris
86,precipimus precipiemus
87,nonagesimo nonaggesimo
88,excelentisimo exelentisimo excelentisimi excelentisime excelentisima
89,cantuariensis cantuariensi cantuarienses cantuarensis cantuariensius canturiensis cantuariencis cantuarielsis kantuariensis
90,uicecomitibus vicecomitibus uicecomitibis uicecomtibus wicecomitibus
91,latitudine latitudinem latitudines
92,constitutus constitutis constitutum constitutos constitutas constitutes constitumus constitutuis cunstitutus coustitutus
93,confirmauimus confirmabimus confirmavimus
94,religiosorum religiosarum religiororum
95,quadragesimo quadragesima quadragesime quatragesimo quadragesimi quadragessimo quadrigesimo
96,apendiciis appendiciis
97,episcopali episcopalia episcopalis
98,compositionem compositione conpositionem compositiones composisionem compositonem
99,recognitio recongnitio
100,quinquaginta quinquagenta quinquiginta quinquaginto
101,octogesimo octuogesimo octoagesimo
102,sustentationem sustentatione sustentacionem sustantationem sustentantionem iustentationem suslentationem substentationem
103,lincolniensis lincolniensi lincoliensis lincolnienses lincolnensis lincolniesis linconiensis
104,contempnendo contempendo
105,controuersia controuersiam controuersie controuersias contrauersia
106,rationabiliter irationabiliter rationabibiter rationabititer
107,hereditario hereditarie hereditaria hereditarii hereditagio ereditario hereditaris hereditorio hereditarios hereditatio
108,consueuerunt consueuerant consueuerint consuluerunt consueruerunt consueuereunt
109,apostolica apostolicam apostolicas
110,predecesorum predecesorem predecessorum predicesorum
111,presbiteri presbiteris presbiterii presbiterio
112,longitudine longitudinem longitudines longitndine
113,parisiensium parsiensium parisensium parisiensum parisieusium
114,sacramentum sacramantum sacrametum
115,constituti constitutis constitutio
116,confirmatio confirmato confirmatis confirmati confirmacio
117,impedimento inpedimento impedimenta impedimenti impedimente
118,capitalibus capitalibas capitulibus
119,aurelianensis aurelianensi aurelianenses anrelianensis aureliacensis aurelanensis aurelienensis aurclianensis
120,eboracensis eboracensi eboracenses eboracencis eborecensis eboracenis heboracensis eboraceneis eborasensis boracensis
121,uniuersitatis uniuersitati universitatis vniuersitatis uniuersatatis uniuersitatas
122,natiuitatis naiuitatis nativitatis natiuitati natiuitates
123,aduocatione aduocationem aduocationes advocatione aduocation
124,conuentionem conuentione conuentiones contentionem conuentionum conucntionem couentionem
125,presbitero presbiteros presbiterio
126,supradicto supradictos
127,securitatem securitate securitates
128,sexagesimo sexaggesimo
129,tesaurario tesaurarios teshaurario tesauarario
130,nicilominus nihilominus nichilominus nicilhominus nicolominus micilominus nicilobminus nicelominus nicilomimus
131,remiserunt premiserunt
132,confirmationem confirmatione confirmationes confirmacionem confirmationum
133,benedictionem benedictione benedictiones benedictionum benediccionem benedictonem bendictionem beneditionem
134,itinerantibus intinerantibus
135,niuernensis niuernensi niuernenses neuernensis
136,supradicte surpradicte
137,pentecosten pentecostes pentecoste pentecostem pentcosten pentecohten
138,promiserunt promiserant promiserint premiserunt
139,episcoporum cepiscoporum
140,cancelarii cancellarii cancelariis
141,misericordia misericordiam misericordie misericordi misericordis misericordian misercordia miscericordia misericordias
142,aniuersario aniuersarii aniuersaria aniuersarios aniuersaric
143,warantizabunt garantizabunt warentizabunt uarantizabunt
144,clamauerunt clamauerint clamauerant clamaverunt clamuerunt aclamauerunt
145,omnipotentis omnipotenti omnipotentia omnipotentie omnispotentis omnipotentes
146,atendentes attendentes adtendentes actendentes
147,promitentes promitente profitentes promictentes promitentem promiltentes pomitentes promisentes
148,infringere infringeret
149,corporaliter corporaliber corporatiter
150,percipiendos percipiendas percipiendis percipiendo percepiendos percipidendos percipendos
151,conditione conditionem conditiones condictione
152,premisorum premissorum
153,uicecomiti uicecomitis
154,laudauerunt laudauerint laudaverunt laudauerant
155,uerteretur uerterentur
156,uenerabilibus venerabilibus
157,procuratorem procuratores procuratore procuratorum
158,predecesoris predecesores predecesori predecessoris predecesors predicesoris
159,perseueret perseuerent perserueret
160,solutionem soluctionem
161,preiuditium preiuditiuma prediuditium
162,fidelitatem fidelitate fidelitates fidelitalem
163,bartolomei bartholomei bartolomeii
164,competenti competentis competentia
165,posesionibus posesionibuis
166,pertinente pertinentes pertinentem pertinentie
167,roborauimus roboravimus robrauimus roborarimus
168,septembris septempbris
169,procurator procuratori procuratore procurators
170,natiuitatem natiuitate natiuatatem natiuitates
171,ocidentali occidentali ocidentalis
172,secularibus ecularibus secularius socularibus
173,spectantibus sectantibus spectatibus
174,dominationi dominationis dominatione nominationi dominacioni dominationie
175,clamatione clamationem clamationes aclamatione clameatione clamantione
176,ordinationi ordinatione ordinationis
177,inuiolabiliter inviolabiliter inuiolabilter
178,presumpserit presumpserint presumserit presumpserat presumpseris presumpserim
179,aisiamentis asiamentis eisiamentis aisamentis aisimentis aiseamentis aisiamenti
180,satisfactum satisfactam saisfactum satifactum
181,personaliter porsonaliter
182,uicecomite uicecomitem uicecomites
183,supradictum supradictam supradictus supradicum supradictu
184,autisiodorensis autisiodorensi altisiodorensis autisiodorenses autisidorensis antisiodorensis autisiodorersis
185,gloucestrie gloucestria glocestrie gloucestre glouecestrie glaucestrie gloocestrie
186,cancelarius cancelarium cancellarius cancelariis canelarius cancelariuo cancelarios cancelarias candelarius
187,purificationis purificationes parificationis
188,bartolomeus bartolomeum bertolomeus bartolmeus batolomeus bartolomeusa bartolomenus bartolomens bartolometus
189,expeditione expedicione expeditionem expeditiones expoeditione expenditione expeditioni
190,reclamatione reclamationem reclaratione reclamationes declamatione reclamations
191,concedente concedentes concedenter
192,obedientiam obedientia obedienciam hobedientiam obedientias oboedientiam obfdientiam
193,acquietabimus adquietabimus aquietabimus atquietabimus
194,percipient percipiente
195,retenemento retinemento retenimento
196,reuerentiam reuerentia reuerenciam reverentiam
197,prouentibus promentibus prouectibus prouantibus
198,pertinaciter pertinatiter
199,uenerabilem uenerabiles uenerabile venerabilem uenerabilum
200,promitimus promittimus
201,posidendum possidendum
202,bartolomeo bartholomeo
203,lugdunensis lugdunensi lugdunenses lurdunensis ludunensis
204,prenominatis prenominati prenominatus prenominatas prenominatos prenominatio pronominatis prenominatim
205,solempniter solemniter sollempniter solempiter
206,satisfactione satisfactionem satisfaccione satisfacione satisfacsione satifactione satisfatione satisfactiones
207,confirmationis confirmationes confirmationi confirmacionis confirmations
208,testamenti testamentis
