Word,Replacement
sucesoribis,sucesoribus
sucsoribus,sucesoribus
sucespribus,sucesoribus
sucesonibus,sucesionibus
suceesoribus,sucesoribus
suecesoribus,sucesoribus
sucesforibus,sucesoribus
pertinenciis,pertinentiis
pertinentis,pertinentia
pertinentias,pertinenciis
periinentiis,pertinentiis
pertinantiis,pertinenciis
petinentiis,pertinentiis
pertinetiis,pertinentiis
pertenentiis,pertinentiis
pertineneiis,pertinentiis
prebentibus,presentibus
presencibus,presentibus
prcsentibus,presentibus
pesentibus,presentibus
presentibis,presentiis
prsentibus,presentibus
testmonium,testimonium
testimoium,testimonium
testomonium,testimonium
tesimonium,testimonium
testimonum,testimonium
testamonium,testamonius
testimoninm,testimonium
testimonim,testimonium
textimonium,testimonium
eleemosinam,elemosinam
helemosinam,eleemosinam
elemosionam,elemosinam
elemosinami,elemosinam
elecmosinam,elemosinam
elcemosinam,elemosinam
autoritate,auctoritate
auctoritatem,autoritate
actoritate,auctoritate
auctoritati,auctoritatis
auctoritates,auctoritatis
auctoriate,auctoritate
inperpetuum,imperpetuum
imperpetuam,inperpetuum
imperpetum,imperpetuum
imperpetuuam,imperpetuum
imperptuum,imperpetuum
inspecturi,inspecturis
inpecturis,inspecturis
inspectaris,inspecturis
inspecturas,inspecturis
infpecturis,inspecturis
inspecluris,inspecturis
inspectures,inspecturis
subscripsit,subscripsi
subscriptsi,subscripsi
pertinencibus,pertinentibus
pertenentibus,pertinentibus
pertiuentibus,pertinentibus
pertnentibus,pertinentibus
pertinentibuus,pertinentibus
pertinientibus,pertinentibus
medietaterm,medietatem
uniuersitos,uniuersitas
universitas,uniuersitas
peruenerint,peruenerit
predictarum,predictorum
predicatorum,predictorum
pradictorum,predictorum
predictorun,predictorurn
donatioonem,donationonem
arcidiaconi,arcidiacono
arcidiaconos,arcidiaconus
arcideacono,arcidiaconi
arcdiacono,arcidiacono
arcidiacon,arcidiacono
arcidiacano,arcidicano
arcidiacone,arcidiaconum
archidiacono,arehidiacono
arciliacono,arcidiacono
quatraginta,quadraginta
quadragintas,quadragentas
quadraginto,quadraginta
quadranginta,quadringinta
quadraginte,quadraginta
quadriginta,quadringinta
quadragenta,quadragentas
ducentisimo,ducentesimo
ducentesimi,ducentesimo
decentesimo,ducentesimo
duocentesimo,ducentesimo
ducentesemo,ducentesimo
conceserint,conceserit
